Trial Number,Vis Type,Participate Percent,Standard Percent,Basic Error
31,Tree Chart,45,50,0.05
39,Tree Chart,44,49,0.05
54,Bar Chart,40,45,0.05
2,Pie Chart,50,45,0.05
8,Tree Chart,40,45,0.05
21,Tree Chart,33,38,0.05
59,Bar Chart,33,38,0.05
33,Tree Chart,33,38,0.05
14,Tree Chart,26,31,0.05
59,Tree Chart,25,30,0.05
28,Pie Chart,35,30,0.05
41,Bar Chart,25,30,0.05
50,Tree Chart,20,25,0.05
15,Tree Chart,20,25,0.05
27,Bar Chart,20,25,0.05
50,Pie Chart,16,21,0.05
35,Tree Chart,15,20,0.05
9,Pie Chart,15,20,0.05
41,Bar Chart,10,15,0.05
47,Bar Chart,20,15,0.05
10,Bar Chart,10,15,0.05
51,Tree Chart,10,15,0.05
7,Tree Chart,10,15,0.05
37,Bar Chart,15,10,0.05
55,Bar Chart,10,5,0.05
56,Pie Chart,95,99,0.04
3,Pie Chart,99,95,0.04
10,Tree Chart,90,94,0.04
24,Bar Chart,90,94,0.04
50,Tree Chart,90,94,0.04
45,Bar Chart,95,91,0.04
2,Pie Chart,95,91,0.04
25,Bar Chart,90,86,0.04
33,Tree Chart,80,84,0.04
8,Bar Chart,87,83,0.04
40,Bar Chart,80,76,0.04
7,Tree Chart,80,76,0.04
15,Bar Chart,70,74,0.04
10,Bar Chart,75,71,0.04
32,Tree Chart,75,71,0.04
10,Pie Chart,60,64,0.04
38,Bar Chart,67,63,0.04
34,Bar Chart,55,59,0.04
8,Tree Chart,53,57,0.04
43,Tree Chart,50,54,0.04
38,Pie Chart,50,54,0.04
60,Tree Chart,50,54,0.04
10,Bar Chart,50,54,0.04
20,Bar Chart,45,49,0.04
39,Pie Chart,50,46,0.04
20,Tree Chart,40,44,0.04
15,Tree Chart,40,44,0.04
22,Bar Chart,40,44,0.04
11,Bar Chart,40,44,0.04
12,Bar Chart,40,44,0.04
1,Bar Chart,45,41,0.04
58,Bar Chart,35,39,0.04
59,Pie Chart,33,37,0.04
48,Bar Chart,40,36,0.04
30,Pie Chart,30,34,0.04
41,Tree Chart,28,32,0.04
35,Pie Chart,25,29,0.04
18,Tree Chart,25,29,0.04
21,Pie Chart,25,29,0.04
26,Bar Chart,22,26,0.04
31,Bar Chart,30,26,0.04
39,Tree Chart,22,26,0.04
50,Tree Chart,20,24,0.04
36,Tree Chart,15,19,0.04
33,Tree Chart,14,18,0.04
8,Pie Chart,10,14,0.04
25,Pie Chart,10,14,0.04
47,Tree Chart,17,13,0.04
57,Tree Chart,94,97,0.03
55,Pie Chart,93,96,0.03
31,Pie Chart,99,96,0.03
53,Pie Chart,90,93,0.03
17,Bar Chart,85,88,0.03
3,Tree Chart,85,88,0.03
40,Tree Chart,85,88,0.03
42,Bar Chart,80,83,0.03
48,Tree Chart,80,83,0.03
59,Bar Chart,80,83,0.03
23,Pie Chart,80,83,0.03
56,Bar Chart,85,82,0.03
32,Bar Chart,85,82,0.03
22,Bar Chart,85,82,0.03
4,Pie Chart,80,77,0.03
53,Tree Chart,80,77,0.03
10,Pie Chart,70,73,0.03
48,Bar Chart,75,72,0.03
29,Bar Chart,75,72,0.03
28,Tree Chart,73,70,0.03
33,Pie Chart,65,68,0.03
36,Pie Chart,70,67,0.03
35,Bar Chart,70,67,0.03
19,Bar Chart,66,63,0.03
40,Tree Chart,60,63,0.03
3,Pie Chart,60,63,0.03
55,Pie Chart,55,58,0.03
6,Bar Chart,60,57,0.03
18,Tree Chart,50,53,0.03
44,Bar Chart,50,53,0.03
3,Pie Chart,50,53,0.03
13,Pie Chart,50,53,0.03
19,Pie Chart,50,53,0.03
